time,x,y
1789342039.7331657,2161,1955
1789342039.745211,2212,1916
1789342039.7582724,2264,1877
1789342039.7692862,2327,1834
1789342039.7813096,2394,1788
1789342039.7933486,2462,1745
1789342039.805408,2529,1702
1789342039.8184538,2597,1667
1789342039.829472,2659,1632
1789342039.8425057,2722,1593
1789342039.8535306,2784,1558
1789342039.8655667,2851,1526
1789342039.8785477,2919,1499
1789342039.889633,2987,1476
1789342039.9026737,3054,1456
1789342039.9136715,3122,1437
1789342039.9257457,3189,1425
1789342039.938784,3251,1413
1789342039.9498246,3303,1406
1789342039.962862,3355,1398
1789342039.9738977,3407,1390
1789342039.9859345,3454,1386
1789342039.999,3501,1382
1789342040.0100048,3542,1378
1789342040.023044,3589,1374
1789342040.0340636,3636,1374
1789342040.0461097,3677,1374
1789342040.059153,3724,1374
1789342040.0701778,3766,1374
1789342040.0832183,3802,1378
1789342040.0942495,3838,1378
1789342040.1062865,3870,1378
1789342040.119335,3901,1382
1789342040.13039,3937,1386
1789342040.1434283,3974,1390
1789342040.154452,4010,1394
1789342040.1664817,4046,1398
1789342040.1795423,4077,1402
1789342040.1905506,4109,1406
1789342040.2035918,4135,1410
1789342040.2146204,4161,1413
1789342040.226666,4187,1417
1789342040.2397082,4212,1421
1789342040.2506127,4238,1429
1789342040.2637851,4264,1437
1789342040.2748156,4290,1441
1789342040.286874,4316,1445
1789342040.2999265,4342,1452
1789342040.3109505,4374,1464
1789342040.3240285,4410,1480
1789342040.334976,4446,1495
1789342040.3470702,4488,1515
1789342040.3601246,4524,1534
1789342040.3711443,4561,1554
1789342040.3841844,4592,1569
1789342040.3952212,4623,1585
1789342040.4072568,4654,1604
1789342040.4203277,4696,1628
1789342040.4313378,4737,1651
1789342040.4443982,4774,1675
1789342040.455419,4810,1698
1789342040.4674473,4851,1725
1789342040.4805083,4893,1756
1789342040.4915192,4940,1791
1789342040.5045705,4987,1834
1789342040.5156002,5049,1904
1789342040.5275817,5096,1963
1789342040.540662,5137,2014
1789342040.5516977,5174,2060
1789342040.5647295,5210,2107
1789342040.5757582,5246,2162
1789342040.5878065,5283,2228
1789342040.6008635,5324,2341
1789342040.6118789,5355,2431
1789342040.6239102,5381,2505
1789342040.6359518,5402,2571
1789342040.647979,5412,2645
1789342040.6610467,5418,2762
1789342040.6720695,5423,2859
1789342040.6850958,5423,2941
1789342040.6961308,5418,3023
1789342040.7081628,5402,3120
1789342040.7212303,5376,3230
1789342040.7322426,5355,3308
1789342040.7452667,5324,3378
1789342040.756276,5288,3444
1789342040.7683575,5246,3526
1789342040.781419,5184,3639
1789342040.7924545,5132,3721
1789342040.8044713,5085,3791
1789342040.8165104,5038,3849
1789342040.8285422,4987,3912
1789342040.8415856,4935,3966
1789342040.85262,4867,4032
1789342040.8656564,4800,4083
1789342040.876699,4706,4146
1789342040.8887162,4612,4200
1789342040.90077,4524,4243
1789342040.9128096,4436,4278
1789342040.9258437,4342,4309
1789342040.9368699,4249,4336
1789342040.9489055,4150,4360
1789342040.9619823,4025,4379
1789342040.97299,3922,4395
1789342040.9860258,3818,4407
1789342040.997057,3714,4411
1789342041.0090876,3615,4411
1789342041.022146,3527,4411
1789342041.0331626,3423,4407
1789342041.0462127,3329,4399
1789342041.0572379,3236,4387
1789342041.069273,3132,4368
1789342041.0813143,3033,4348
1789342041.0933578,2940,4321
1789342041.106415,2831,4282
1789342041.1174438,2722,4231
1789342041.1294603,2633,4184
1789342041.1425278,2540,4138
1789342041.1535356,2462,4095
1789342041.1665323,2389,4052
1789342041.1776,2311,4001
1789342041.1896348,2223,3931
1789342041.202708,2119,3818
1789342041.213721,2046,3740
1789342041.226755,1989,3670
1789342041.2377872,1932,3600
1789342041.2498255,1870,3491
1789342041.262886,1812,3370
1789342041.2738993,1776,3280
1789342041.2869797,1750,3187
1789342041.2979689,1729,3039
1789342041.310015,1719,2898
1789342041.3230839,1724,2809
1789342041.3340778,1740,2711
1789342041.3471432,1766,2610
1789342041.3581471,1797,2501
1789342041.3701994,1828,2423
1789342041.3832858,1864,2360
1789342041.3943052,1922,2279
1789342041.4073515,1994,2181
1789342041.418405,2067,2099
1789342041.4304502,2135,2021
1789342041.4434679,2202,1963
1789342041.4545078,2270,1912
1789342041.4675457,2348,1858
1789342041.4785726,2446,1795
1789342041.4906194,2571,1725
1789342041.503687,2701,1667
1789342041.5146906,2836,1612
1789342041.527736,2961,1558
1789342041.538757,3101,1511
1789342041.5507982,3215,1480
1789342041.5637794,3319,1456
1789342041.5748506,3418,1437
1789342041.5878713,3511,1425
1789342041.5989444,3610,1417
1789342041.6109693,3714,1413
1789342041.624004,3802,1413
1789342041.636043,3885,1413
1789342041.649085,3968,1417
1789342041.6601157,4046,1425
1789342041.672151,4119,1437
1789342041.6852288,4197,1448
1789342041.6962297,4264,1464
1789342041.7082713,4348,1499
1789342041.7202964,4425,1534
1789342041.7323277,4498,1569
1789342041.7454293,4571,1604
1789342041.7564197,4633,1636
1789342041.7684598,4696,1667
1789342041.7804744,4748,1694
1789342041.7925029,4800,1721
1789342041.8055913,4846,1749
1789342041.8165843,4893,1780
1789342041.828634,4955,1834
1789342041.8406599,5023,1904
1789342041.8526943,5090,1982
1789342041.8657773,5148,2045
1789342041.876773,5200,2103
1789342041.88882,5251,2166
1789342041.9008558,5309,2255
1789342041.912885,5361,2360
1789342041.9248877,5397,2438
1789342041.9369488,5428,2505
1789342041.9489954,5454,2563
1789342041.9610271,5475,2633
1789342041.9730573,5496,2762
1789342041.9860983,5511,2867
1789342041.9971187,5516,2945
1789342042.009165,5516,3023
1789342042.021198,5511,3144
1789342042.033225,5501,3253
1789342042.0462978,5485,3331
1789342042.057297,5470,3401
1789342042.0693357,5438,3483
1789342042.081393,5402,3576
1789342042.0934203,5361,3666
1789342042.106483,5324,3728
1789342042.1174712,5283,3779
1789342042.1295207,5231,3834
1789342042.1415398,5168,3892
1789342042.1535857,5096,3962
1789342042.1666195,5033,4013
1789342042.1776152,4966,4064
1789342042.1896923,4862,4122
1789342042.2017136,4727,4184
1789342042.213782,4607,4235
1789342042.2267919,4509,4270
1789342042.2377787,4400,4305
1789342042.2508967,4285,4333
1789342042.261905,4176,4356
1789342042.2739105,4072,4375
1789342042.2870107,3948,4391
1789342042.298008,3807,4399
1789342042.3100326,3651,4399
1789342042.3220851,3511,4395
1789342042.3341205,3381,4383
1789342042.3472037,3262,4368
1789342042.3581903,3142,4352
1789342042.370245,3038,4333
1789342042.382214,2940,4309
1789342042.3942597,2815,4259
1789342042.407322,2706,4208
1789342042.418342,2607,4157
1789342042.4304087,2514,4110
1789342042.442468,2436,4068
1789342042.4545112,2363,4029
1789342042.4675815,2285,3982
1789342042.4785867,2197,3904
1789342042.4906187,2093,3791
1789342042.5026495,2020,3705
1789342042.5146701,1953,3612
1789342042.5277524,1896,3506
1789342042.5387404,1838,3397
1789342042.55079,1802,3304
1789342042.5628247,1781,3237
1789342042.574806,1761,3152
1789342042.5868924,1745,3046
1789342042.5989285,1735,2926
1789342042.61097,1735,2844
1789342042.6229591,1745,2770
1789342042.6350348,1766,2672
1789342042.6481187,1787,2583
1789342042.659109,1818,2489
1789342042.6711557,1838,2427
1789342042.6831887,1859,2380
1789342042.6952121,1885,2341
1789342042.7082748,1922,2294
1789342042.719289,2000,2208
1789342042.7313366,2093,2119
1789342042.7433915,2207,2010
1789342042.755423,2301,1936
1789342042.7684817,2405,1866
1789342042.779468,2529,1784
1789342042.791431,2654,1714
1789342042.8035133,2768,1655
1789342042.8155105,2877,1604
1789342042.828627,2976,1554
1789342042.839623,3080,1515
1789342042.852664,3179,1487
1789342042.8636947,3262,1464
1789342042.875725,3340,1448
1789342042.888806,3418,1437
1789342042.8998065,3496,1429
1789342042.911846,3574,1425
1789342042.9238856,3651,1421
1789342042.9359043,3740,1421
1789342042.9489856,3818,1421
1789342042.9599802,3885,1425
1789342042.9720333,3953,1429
1789342042.9840615,4015,1437
1789342042.9960008,4072,1445
1789342043.0090652,4129,1456
1789342043.0201657,4202,1480
1789342043.0322092,4270,1503
1789342043.0442376,4337,1534
1789342043.0562637,4400,1562
1789342043.069344,4462,1589
1789342043.0803566,4529,1620
1789342043.0924106,4592,1651
1789342043.1044378,4649,1678
1789342043.116453,4706,1706
1789342043.129526,4758,1729
1789342043.1405287,4810,1756
1789342043.1525755,4857,1780
1789342043.164602,4903,1811
